States,Assamese,Bengali,Bilingual,Dogri,English,Gujarati,Hindi,Kannada,Kashmiri,Konkani,Maithili,Malayalam,Manipuri,Marathi,Multilingual,Nepali,Odia,Punjabi,Sanskrit,Santhali,Sindhi,Tamil,Telugu,Urdu,Others,Total
"Andaman &Nicobar Islands",0,22849,2317,0,56969,0,38999,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,7058,0,0,130192
Andhra Pradesh,0,0,296221,0,3773613,0,176392,17000,0,0,0,0,0,0,89500,0,20000,0,0,16000,0,0,0,19829095,1054411,25272232
"ArunachalPradesh",0,0,0,0,294845,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311845
Assam,1390259,763192,65637,0,1052608,0,384024,0,0,0,0,0,37115,0,10000,0,0,229163,0,0,0,0,0,0,242886,4174884
Bihar,0,1600,146803,0,287100,0,9539821,0,0,0,1000,0,0,0,22159,0,0,0,0,0,0,0,0,0,3742331,13740814
Chandigarh,0,0,112527,0,1279289,0,1428618,0,0,0,0,0,0,0,1000,0,0,0,368146,0,0,0,0,0,0,3189580
Chhattisgarh,0,0,56755,0,271154,0,15955813,0,0,0,0,0,0,0,0,0,0,23390,0,0,0,0,0,0,337462,16644574
Daman & Diu,0,0,0,0,25916,287072,198363,0,0,0,0,0,0,48600,0,0,0,0,0,16500,0,0,0,0,0,576451
Delhi,500,8427,3731569,0,15703822,39322,40887881,63259,0,0,250,27167,0,70086,184960,0,1000,34133,2042688,85876,0,0,16877,16394,9304111,72218322
"Dadra & NagarHaveli",0,0,33675,0,203359,121997,475263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834294
Goa,0,0,0,0,246699,0,28000,0,0,0,0,0,0,97383,0,0,0,0,0,0,0,0,0,0,0,372082
Gujarat,0,0,503095,0,1743653,27218451,4126566,0,0,0,0,0,0,322081,55796,0,0,0,0,97316,0,50227,75010,29691,313511,34535397
Haryana,0,0,270243,0,389495,0,6533858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104536,7298132
"HimachalPradesh",0,0,17063,0,157448,0,1203358,0,0,0,0,0,0,0,6800,0,0,0,0,0,0,0,0,0,0,1384669
Jharkhand,0,56182,50119,0,379507,0,4117688,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,1051595,5655591
"Jammu &Kashmir",0,0,602849,56022,6007595,0,861067,0,137450,0,0,0,0,0,36666,0,0,0,0,0,0,0,0,0,3175556,10877205
Karnataka,0,0,272956,0,2447325,0,140137,6364750,0,9212,0,18821,0,215042,4000,0,0,1854,0,0,0,0,126780,52726,522703,10176306
Kerala,0,0,63790,0,1376520,0,223496,9063,0,0,0,15444784,0,0,0,0,0,0,0,1909,0,0,0,0,0,17119562
Maharashtra,0,6103,915030,0,10978268,1060761,9793879,30310,0,0,1000,55837,0,36012630,68654,0,15001,5500,0,0,0,78977,44449,8696,1008346,60083441
Manipur,0,0,15547,0,149665,0,6658,0,0,0,0,0,215057,0,1,0,0,5425,0,0,0,0,0,0,0,392353
Meghalaya,0,0,0,0,140127,0,43391,0,0,0,0,0,0,0,0,0,0,154997,0,0,0,0,0,0,25583,364098
Mizoram,0,0,0,0,110881,0,0,0,0,0,0,0,0,0,0,0,0,183804,0,0,0,0,0,0,0,294685
Madhya Pradesh,0,0,1054139,0,960951,0,55133099,0,0,0,0,0,0,20750,76320,0,0,0,0,26457,0,16657,0,0,1062684,58351057
Nagaland,0,0,0,0,168921,0,0,0,0,0,0,0,0,0,0,0,0,39119,0,0,0,0,0,0,0,208040
Odisha,0,0,583413,0,1335299,0,436881,0,0,0,0,0,0,0,128384,0,20271591,0,0,16000,0,0,0,0,68450,22840018
Pondicherry,0,0,13000,0,1000,0,30575,0,0,0,0,0,0,865,860,0,2200,400,0,650,0,0,274704,275,0,324529
Punjab,0,0,152188,0,64534,0,2297531,0,0,0,0,0,0,0,60100,0,0,0,3323326,0,0,0,0,0,9471,5907150
Rajasthan,0,0,457037,0,525431,0,26869320,700,0,0,0,0,0,0,16101,0,0,174224,0,0,0,425942,0,0,188833,28657588
Sikkim,0,0,0,0,315102,0,160516,0,0,0,0,0,0,0,0,284148,0,0,0,0,0,0,0,0,71583,831349
Telangana,0,0,92050,0,1588561,0,563944,0,0,0,0,0,0,0,23500,0,0,0,0,0,0,0,0,7642177,1614125,11524357
Tamil Nadu,0,3800,1708056,0,5324344,1000,166798,0,0,0,0,9181,0,1300,2525,0,2800,1066,0,0,0,0,8794844,65880,0,16081594
Tripura,0,763298,35550,0,154532,0,26562,0,0,0,0,0,0,0,0,0,0,51688,0,0,0,0,0,0,0,1031630
Uttar Pradesh,0,0,3036824,0,3919111,0,111192464,0,0,0,0,0,0,0,118486,0,0,17250,150723,92833,0,0,0,0,25207472,143735163
Uttaranchal,0,0,544807,0,1288964,5083,19897791,0,0,0,0,1883,0,0,22400,800,0,67300,46758,9200,0,0,0,0,1532917,23417903
West Bengal,0,5994357,120650,0,2690835,94648,1499353,0,0,0,16197,0,0,0,22206,76108,0,0,0,0,30500,0,0,200,1136440,11681494
Total,1390759,7619808,14953910,56022,65413443,28828334,314455106,6485082,137450,9212,18447,15557673,252172,36788737,952918,361056,20312592,989313,5931641,362741,30500,571803,9339722,27645134,51775006,610238581
