States,Assamese,Bengali,Bilingual,Dogri,English,Gujarati,Hindi,Kannada,Kashmiri,Konkani,Maithili,Malayalam,Manipuri,Marathi,Multilingual,Nepali,Odia,Punjabi,Sanskrit,Santhali,Sindhi,Tamil,Telugu,Urdu,Others,Total
"Andaman &Nicobar Islands",0,28182,3114,0,104099,0,72298,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,8116,0,6900,0,224709
Andhra Pradesh,0,0,335788,0,2949825,0,200880,22500,0,0,0,0,0,0,98325,0,20000,0,16000,0,0,1000,20029084,831985,0,24505387
"ArunachalPradesh",0,0,0,0,266925,0,16625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283550
Assam,1422426,732938,55952,0,848211,0,332046,0,0,0,0,0,38455,0,40000,0,0,0,0,0,0,0,0,180088,206078,3856194
Bihar,0,1200,135233,0,334727,0,8859797,0,0,0,36050,0,0,0,22286,0,0,0,0,0,0,0,0,3194422,0,12583715
Chandigarh,0,0,138616,0,869226,0,1186769,0,0,0,0,0,0,0,3000,0,0,397576,0,0,0,0,0,0,0,2595187
Chhattisgarh,0,0,126282,0,245286,0,9195230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178918,15130,9760846
Daman & Diu,0,0,0,0,15900,209683,90424,0,0,0,0,0,0,1082,0,0,0,0,600,0,0,0,0,0,0,317689
Delhi,1000,44548,2647143,0,12651173,36883,27035865,54200,0,0,0,26659,0,57135,180943,0,2150,777529,56372,0,0,22086,15839,5203911,34830,48848266
"Dadra & NagarHaveli",0,0,30658,0,173813,107369,393586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705426
Goa,0,0,0,0,245564,0,25083,0,0,0,0,0,0,142539,0,0,0,0,0,0,0,0,0,0,0,413186
Gujarat,0,0,594580,0,1705921,25987900,3710134,0,0,0,0,0,0,142769,49866,0,0,0,68723,0,50777,82802,18438,133935,0,32545845
Haryana,0,0,267843,0,339494,0,6103841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82986,0,6794164
"HimachalPradesh",0,0,23463,0,106393,0,1079471,0,0,0,0,0,0,0,2050,0,0,0,0,0,0,0,0,0,0,1211377
Jharkhand,0,47666,55720,0,366819,0,4390338,0,0,0,0,0,0,0,6500,0,0,0,0,40000,0,0,0,713878,4000,5624921
"Jammu &Kashmir",0,0,558510,50150,5245792,0,588412,0,162950,0,0,0,0,0,32650,0,0,0,0,0,0,0,0,2744480,0,9382944
Karnataka,0,0,155667,0,2354843,0,118009,8096169,0,9518,0,19749,0,180582,17000,0,0,0,0,0,0,109242,51748,412071,1825,11526423
Kerala,0,0,102579,0,1344918,0,198640,9912,0,0,0,15885313,0,0,112812,0,0,0,1941,0,0,1300,450,0,0,17657865
Maharashtra,0,5217,1529728,0,8434888,792444,9191220,31267,0,0,1000,59244,0,27987527,155593,0,12120,0,0,0,50103,48715,8367,890354,8172,49205959
Manipur,0,0,44381,0,134584,0,0,0,0,0,0,0,214153,0,0,0,0,0,0,0,0,0,0,0,5453,398571
Meghalaya,0,0,0,0,137949,0,43381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17555,151789,350674
Mizoram,0,0,0,0,110130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121424,231554
Madhya Pradesh,0,0,976114,0,1025786,0,49378949,0,0,0,0,0,0,26006,101519,0,0,0,29220,0,16062,0,0,770129,0,52323785
Nagaland,0,0,0,0,175036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39150,214186
Odisha,0,0,508908,0,1337795,0,390113,0,0,0,0,0,0,0,62549,0,13151302,0,16000,0,0,0,0,62027,0,15528694
Pondicherry,0,0,5800,0,8566,0,11177,0,0,0,0,0,0,865,1277,0,2275,0,650,0,0,233007,250,0,400,264267
Punjab,0,0,150367,0,22176,0,2092674,0,0,0,0,0,0,0,31125,0,0,3028382,0,0,0,0,0,8393,0,5333117
Rajasthan,0,0,320567,0,493065,0,22732783,700,0,0,0,0,0,0,22462,0,0,0,0,0,296089,0,0,146191,120255,24132112
Sikkim,0,0,0,0,264024,0,101966,0,0,0,0,0,0,0,0,239672,0,0,0,0,0,0,0,62608,0,668270
Telangana,0,0,388003,0,1745802,0,435205,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,7419,7490072,1466623,0,11583124
Tamil Nadu,0,0,1434173,0,5230341,0,146102,0,0,0,0,9870,0,0,3675,0,0,0,0,0,0,8609342,59152,21975,0,15514630
Tripura,0,716379,36050,0,145947,0,27283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45191,970850
Uttar Pradesh,0,25600,1877228,0,2698580,0,72178557,0,0,0,0,0,0,0,66000,0,0,2751,23800,0,0,0,0,13538355,48809,90459680
Uttaranchal,0,3475,472537,0,1009447,5333,17369581,0,0,0,0,2066,0,0,5400,800,0,17150,9700,0,0,0,0,886864,68400,19850753
West Bengal,0,6298297,205890,0,3433955,0,1279334,0,0,0,16143,0,0,0,22812,40370,0,26912,0,25500,0,0,0,872357,0,12221570
Total,1423426,7903502,13180894,50150,56577000,27139612,238975773,8214748,162950,9518,53193,16002901,252608,28538505,1089844,280842,13187847,4250300,223006,65500,413031,9123029,27673400,32427005,870906,488089490
